height,Date,nonce,adder,difficulty,shift,Merit6Gap,Gapstart,
70,21-10-2014,427,57263,16.62840849,20,18.6901293570,90063549289354078039740408217972014936631241583132161455211067692313029333067292591,
71,21-10-2014,16,940541,16.63239932,20,17.5676103358,103320441762205293688954889386172794238321049700054508229809284669095060374427687421,
72,21-10-2014,36,706395,16.64384929,20,16.8375813216,89291816249286577482291300279900851245655879611801269872739230046574836412738881371,
73,21-10-2014,42,773833,16.65442761,20,16.8369163220,114094419343462179721295762818066361319336972645393518142809366147581951524455829193,
74,21-10-2014,74,725305,16.66270989,20,19.9273013804,80197758480671015463294477731321648931405340797954217882932527120385010476303192377,
75,21-10-2014,23,762677,16.67291591,20,18.4669353532,115742044988809356402909478563111164148513335660696552691451162106122389935332500277,
76,21-10-2014,34,203827,16.68436588,20,20.5647503930,98920382676337409433678010317295588885226606376877600882780072251374011469774658611,
77,21-10-2014,138,838083,16.69693962,20,17.4289653330,94808899859957927393555532238686318405825230292989267498954784783198391388780415427,
78,21-10-2014,50,712279,16.70173042,20,16.7499643198,82796866837405569035937322112208933634705099606867988179369065544990694124049587799,
79,21-10-2014,109,910807,16.71193644,20,16.9603943242,103733615421062944022504307348805082012506405512396695522369051417076315085545006551,
80,21-10-2014,230,859531,16.72000752,20,17.5857703360,95028138317707872988129394994467076675240229720564204954954222004703405820680674699,
81,21-10-2014,434,384543,16.72399834,20,18.0559113452,107181845307413729537684608679655699818665550002137827767238364661634466078456667679,
82,21-10-2014,9,618589,16.72751303,20,17.1122263272,109828819686079547354062153669693127237966053865739953548244414347510768083770372189,
83,21-10-2014,33,1038431,16.74008677,20,17.1995813280,66216101747711481967701137298257057054161303465203732095366547585567501344229546079,
84,21-10-2014,200,844533,16.75153674,20,16.9668893242,96414118313198138876046582106267259983713735221966770536113494479366745706043597557,
85,21-10-2014,192,586079,16.75733469,20,17.7840463400,107039556477215113773642582916595033425391036683347482108075588165701344553271357791,
86,21-10-2014,61,173391,16.76389106,20,17.0890613266,100184209163787690782243063048802829569638108593963933092662627723958991065020802383,
87,21-10-2014,69,84891,16.77089012,20,16.8791763228,113541380452914515608075686630336533404107933354595100818905702776348126187527162779,
88,21-10-2014,27,204501,16.77988460,20,18.5147753540,108771784331462670191782045083432204696736031380374396735645113851204332889306242773,
89,21-10-2014,164,173003,16.79245833,20,16.9553453234,68505435363531546473986425176166522878575561486542843020702532390345109660202345419,
90,21-10-2014,166,868105,16.79995674,20,18.5215563540,101418347053204986440420934942255023869042050303104228255307946882763611993079103241,
91,21-10-2014,36,624099,16.80823902,20,17.1738763278,78406200849000764158933748592416635156813738767587685150142095898352210512488007139,
92,21-10-2014,80,661741,16.81810515,20,17.0334993256,103890451908008965711056132785379977432959557325648045577712608729859913860284815597,
93,21-10-2014,68,81015,16.82560355,20,18.0731323446,64095372305323484521476624966471128563214482688497518080499042548481787362579397751,
94,21-10-2014,17,201237,16.83410911,20,17.3825773320,88805790480592614835943959284809498717269206583638648909083157676100422847361651221,
95,21-10-2014,38,747609,16.84739504,20,17.5531813350,76645911055610028492109057883666703405842205721266751224440770684095696657384695897,
96,21-10-2014,22,143625,16.85838492,20,17.0465323252,70990630816965724727600375061589428179485954663039647984129775687510271632971280649,
97,21-10-2014,10,688753,16.87095866,20,17.1705823284,115347540721448670592539676631517907490872805040010244003366545630880885919060755057,
98,21-10-2014,4,912377,16.88194854,20,17.1767703276,67579367287182642372191425833223601363921886230435483363184133793252224021608393721,
99,21-10-2014,22,124363,16.89881373,20,17.4745443336,81196540982541361941380292215935291815056814894747642645949482885684621383176414667,
100,21-10-2014,157,192779,16.90980361,20,17.2377373290,77549576039887949339799678415590823508671701295677331683264448874091966503171846411,
101,21-10-2014,173,156457,16.91506562,20,17.0057263244,70096812732766074830355175493009653438719258028793624054630102139157958423636763433,
102,21-10-2014,194,752719,16.91976864,20,18.4136473522,116953954365886340254305137411006352270056558546035024389095728175971332359814085711,
103,21-10-2014,60,986745,16.92503065,20,17.5042253344,92776687349937615038966940461709946470133251117816672360306149028527099584717983353,
104,21-10-2014,185,314529,16.93523666,20,17.1113033270,98727057144434201219185920960994365366972969962938648146332716260086333706069134497,
105,21-10-2014,17,567959,16.94103461,20,17.1086903272,114256365436554621805256666721416448446689291461265929089127290166731752918254922391,
106,21-10-2014,366,300665,16.95519219,20,17.4184963330,106345707581922754843880707803109512189288607819156735104779649198974988618357315193,
107,21-10-2014,29,320709,16.95998300,20,18.1538663462,66272942576695316631622024399750579422139354797845286807096246486483283532912583877,
108,21-10-2014,93,794613,16.96826528,20,17.4863203338,80052592591299235267336595604461945552681007149826957076942478915003873327459344373,
109,21-10-2014,12,924683,16.97576368,20,17.1579083280,105224482649652328001948811434817433272811393498828076985419219705422563368503221259,
110,21-10-2014,70,466821,16.98308845,20,17.8661493408,69574655543646847026463764656921021056429210162508121822736817650014620589514760069,
111,21-10-2014,4,831501,17.00266125,20,17.0437803260,117064657590780739138206072181891316335040574038587429959145661326041681670311817229,
112,21-10-2014,49,1012573,17.01523498,20,17.7799123390,63765213863633196273946516909215258427737995203717962338800494316021555989611246429,
113,21-10-2014,187,501887,17.02330606,20,17.6875893374,69813683055851505714941890852281697536113540678438672992353775749578677384781473919,
114,21-10-2014,9,9895,17.02866953,20,17.8905243414,75029430217188420968996344200617825171280884013799982451869995519051145261951755943,
115,21-10-2014,0,482145,17.04124327,20,17.1365503276,105734812304537942828894347339295120351581221701022923106184106013290010765598088033,
116,21-10-2014,13,709249,17.05540085,20,17.8640323406,63627394056841282877012073951114846004783881154960865807423111574498364914238411393,
117,21-10-2014,105,338565,17.06272562,20,17.1867973280,76307256344811108031864558426857686854421114155993440109104371294964415324698782341,
118,21-10-2014,44,187983,17.07172009,20,20.7431123962,89457337185266275905034106549082373605810744161107442320587939498685262882269224527,
119,21-10-2014,257,611239,17.07617101,20,19.2590993684,118725020546782368917759268081305701586714508060457436534183049730798645584182465447,
120,21-10-2014,21,762277,17.07872541,20,17.4515273336,104444373823894276367942685387022621644996025709853752286683230145953931028453892517,
121,21-10-2014,28,494971,17.09829820,20,17.7688213390,71824237129838249929568772871702368452675807434296278853970599941459666109928541563,
122,21-10-2014,101,607417,17.10658048,20,17.4569763330,69776253454073830850283361031067605796845227486008609321558761237731313830744114361,
123,21-10-2014,146,202053,17.11273926,20,17.3103993310,110513756585570660858747545509794087235361996594114549200914545571932037323433383237,
124,21-10-2014,55,14099,17.11958512,20,17.5430913356,120419915456706635145911906696922599714636484042183142286239380379895538890296014611,
125,21-10-2014,13,110341,17.12979113,20,17.9456763432,113800152457634261851225863425785554582268497969707411220276062232662315292389650181,
126,21-10-2014,1,693301,17.13747126,20,20.3877163894,88940685503906135120818250813969543322602865633201432459620011341664445569882035253,
127,21-10-2014,5,886459,17.15433645,20,17.5036653348,117310839823229645068254726959372177996003665585364317004308574659249918719759845051,
128,21-10-2014,420,213319,17.16491477,20,18.5183633540,104816014235701263285661591355569013073929156568340572554953508727447139283475054919,
129,21-10-2014,7,535409,17.16800511,20,17.1891203288,118437947456326386444143744695215602596268018919040661908038993246960972058080062321,
130,21-10-2014,50,977089,17.18487030,20,17.8046023396,68566810420192860565133304542167597412791961143183240112421875255495248603176167617,
131,21-10-2014,90,718255,17.19337586,20,17.5581393358,114541369976630708452612437941866956521485435880956673273470121908854929959482488239,
132,21-10-2014,246,138929,17.20263983,20,17.5939873362,97379065384468591144817256492666244290696836795518577160701329050157084169318047409,
133,21-10-2014,354,72211,17.20529570,20,17.5396123348,79267016680773631550912440030327999075863736220735014313931409523359986079687055891,
134,21-10-2014,130,712747,17.20928652,20,17.6459563372,97763188915155348667434592763051403709731189638434790866170328791895057714294480939,
135,21-10-2014,13,742521,17.21855050,20,17.8880143416,86182144608173456356131501370956199923904970981171822227311281881553503099932071033,
136,21-10-2014,120,81335,17.23383184,20,18.6737853570,106452243469865437938376686000015779868029196800365150966168605322073367085411548599,
137,21-10-2014,2,96317,17.24025114,20,19.3748083696,70370956473585484597974067040607287908952660546253406346004525292943109619895597117,
138,21-10-2014,51,896069,17.25222272,20,17.6622313376,102815387596545819585565711198214918994499658811315625988275448318578310610460453957,
139,21-10-2014,87,885141,17.26280104,20,17.6764743380,110521505643957961789741000453796364558196748724832362799793263861830718454737240469,
140,21-10-2014,365,878325,17.27300706,20,18.0051543444,117821404416255766840114697090005618564598513060223679149491691125319156967606675189,
