Gap,C??,Merit6,Gapcoin,Date,Digits,Gapstart,
3804,C??,19.927301,Gapcoin,21-10-2014,83,80197758480671015463294477731321648931405340797954217882932527120385010476303192377,
3532,C??,18.466935,Gapcoin,21-10-2014,84,115742044988809356402909478563111164148513335660696552691451162106122389935332500277,
3930,C??,20.564750,Gapcoin,21-10-2014,83,98920382676337409433678010317295588885226606376877600882780072251374011469774658611,
3330,C??,17.428965,Gapcoin,21-10-2014,83,94808899859957927393555532238686318405825230292989267498954784783198391388780415427,
3198,C??,16.749964,Gapcoin,21-10-2014,83,82796866837405569035937322112208933634705099606867988179369065544990694124049587799,
3242,C??,16.960394,Gapcoin,21-10-2014,84,103733615421062944022504307348805082012506405512396695522369051417076315085545006551,
3360,C??,17.585770,Gapcoin,21-10-2014,83,95028138317707872988129394994467076675240229720564204954954222004703405820680674699,
3452,C??,18.055911,Gapcoin,21-10-2014,84,107181845307413729537684608679655699818665550002137827767238364661634466078456667679,
3272,C??,17.112226,Gapcoin,21-10-2014,84,109828819686079547354062153669693127237966053865739953548244414347510768083770372189,
3280,C??,17.199581,Gapcoin,21-10-2014,83,66216101747711481967701137298257057054161303465203732095366547585567501344229546079,
3242,C??,16.966889,Gapcoin,21-10-2014,83,96414118313198138876046582106267259983713735221966770536113494479366745706043597557,
3400,C??,17.784046,Gapcoin,21-10-2014,84,107039556477215113773642582916595033425391036683347482108075588165701344553271357791,
3266,C??,17.089061,Gapcoin,21-10-2014,84,100184209163787690782243063048802829569638108593963933092662627723958991065020802383,
3228,C??,16.879176,Gapcoin,21-10-2014,84,113541380452914515608075686630336533404107933354595100818905702776348126187527162779,
3540,C??,18.514775,Gapcoin,21-10-2014,84,108771784331462670191782045083432204696736031380374396735645113851204332889306242773,
3234,C??,16.955345,Gapcoin,21-10-2014,83,68505435363531546473986425176166522878575561486542843020702532390345109660202345419,
3540,C??,18.521556,Gapcoin,21-10-2014,84,101418347053204986440420934942255023869042050303104228255307946882763611993079103241,
3278,C??,17.173876,Gapcoin,21-10-2014,83,78406200849000764158933748592416635156813738767587685150142095898352210512488007139,
3256,C??,17.033499,Gapcoin,21-10-2014,84,103890451908008965711056132785379977432959557325648045577712608729859913860284815597,
3446,C??,18.073132,Gapcoin,21-10-2014,83,64095372305323484521476624966471128563214482688497518080499042548481787362579397751,
3320,C??,17.382577,Gapcoin,21-10-2014,83,88805790480592614835943959284809498717269206583638648909083157676100422847361651221,
3350,C??,17.553181,Gapcoin,21-10-2014,83,76645911055610028492109057883666703405842205721266751224440770684095696657384695897,
3252,C??,17.046532,Gapcoin,21-10-2014,83,70990630816965724727600375061589428179485954663039647984129775687510271632971280649,
3284,C??,17.170582,Gapcoin,21-10-2014,84,115347540721448670592539676631517907490872805040010244003366545630880885919060755057,
3276,C??,17.176770,Gapcoin,21-10-2014,83,67579367287182642372191425833223601363921886230435483363184133793252224021608393721,
3336,C??,17.474544,Gapcoin,21-10-2014,83,81196540982541361941380292215935291815056814894747642645949482885684621383176414667,
3290,C??,17.237737,Gapcoin,21-10-2014,83,77549576039887949339799678415590823508671701295677331683264448874091966503171846411,
3244,C??,17.005726,Gapcoin,21-10-2014,83,70096812732766074830355175493009653438719258028793624054630102139157958423636763433,
3522,C??,18.413647,Gapcoin,21-10-2014,84,116953954365886340254305137411006352270056558546035024389095728175971332359814085711,
3344,C??,17.504225,Gapcoin,21-10-2014,83,92776687349937615038966940461709946470133251117816672360306149028527099584717983353,
3270,C??,17.111303,Gapcoin,21-10-2014,83,98727057144434201219185920960994365366972969962938648146332716260086333706069134497,
3272,C??,17.108690,Gapcoin,21-10-2014,84,114256365436554621805256666721416448446689291461265929089127290166731752918254922391,
3330,C??,17.418496,Gapcoin,21-10-2014,84,106345707581922754843880707803109512189288607819156735104779649198974988618357315193,
3462,C??,18.153866,Gapcoin,21-10-2014,83,66272942576695316631622024399750579422139354797845286807096246486483283532912583877,
3338,C??,17.486320,Gapcoin,21-10-2014,83,80052592591299235267336595604461945552681007149826957076942478915003873327459344373,
3280,C??,17.157908,Gapcoin,21-10-2014,84,105224482649652328001948811434817433272811393498828076985419219705422563368503221259,
3408,C??,17.866149,Gapcoin,21-10-2014,83,69574655543646847026463764656921021056429210162508121822736817650014620589514760069,
3260,C??,17.043780,Gapcoin,21-10-2014,84,117064657590780739138206072181891316335040574038587429959145661326041681670311817229,
3390,C??,17.779912,Gapcoin,21-10-2014,83,63765213863633196273946516909215258427737995203717962338800494316021555989611246429,
3374,C??,17.687589,Gapcoin,21-10-2014,83,69813683055851505714941890852281697536113540678438672992353775749578677384781473919,
3414,C??,17.890524,Gapcoin,21-10-2014,83,75029430217188420968996344200617825171280884013799982451869995519051145261951755943,
3276,C??,17.136550,Gapcoin,21-10-2014,84,105734812304537942828894347339295120351581221701022923106184106013290010765598088033,
3406,C??,17.864032,Gapcoin,21-10-2014,83,63627394056841282877012073951114846004783881154960865807423111574498364914238411393,
3280,C??,17.186797,Gapcoin,21-10-2014,83,76307256344811108031864558426857686854421114155993440109104371294964415324698782341,
3962,C??,20.743112,Gapcoin,21-10-2014,83,89457337185266275905034106549082373605810744161107442320587939498685262882269224527,
3684,C??,19.259099,Gapcoin,21-10-2014,84,118725020546782368917759268081305701586714508060457436534183049730798645584182465447,
3336,C??,17.451527,Gapcoin,21-10-2014,84,104444373823894276367942685387022621644996025709853752286683230145953931028453892517,
3390,C??,17.768821,Gapcoin,21-10-2014,83,71824237129838249929568772871702368452675807434296278853970599941459666109928541563,
3330,C??,17.456976,Gapcoin,21-10-2014,83,69776253454073830850283361031067605796845227486008609321558761237731313830744114361,
3310,C??,17.310399,Gapcoin,21-10-2014,84,110513756585570660858747545509794087235361996594114549200914545571932037323433383237,
3356,C??,17.543091,Gapcoin,21-10-2014,84,120419915456706635145911906696922599714636484042183142286239380379895538890296014611,
3432,C??,17.945676,Gapcoin,21-10-2014,84,113800152457634261851225863425785554582268497969707411220276062232662315292389650181,
3894,C??,20.387716,Gapcoin,21-10-2014,83,88940685503906135120818250813969543322602865633201432459620011341664445569882035253,
3348,C??,17.503665,Gapcoin,21-10-2014,84,117310839823229645068254726959372177996003665585364317004308574659249918719759845051,
3540,C??,18.518363,Gapcoin,21-10-2014,84,104816014235701263285661591355569013073929156568340572554953508727447139283475054919,
3288,C??,17.189120,Gapcoin,21-10-2014,84,118437947456326386444143744695215602596268018919040661908038993246960972058080062321,
3396,C??,17.804602,Gapcoin,21-10-2014,83,68566810420192860565133304542167597412791961143183240112421875255495248603176167617,
3358,C??,17.558139,Gapcoin,21-10-2014,84,114541369976630708452612437941866956521485435880956673273470121908854929959482488239,
3362,C??,17.593987,Gapcoin,21-10-2014,83,97379065384468591144817256492666244290696836795518577160701329050157084169318047409,
3348,C??,17.539612,Gapcoin,21-10-2014,83,79267016680773631550912440030327999075863736220735014313931409523359986079687055891,
3372,C??,17.645956,Gapcoin,21-10-2014,83,97763188915155348667434592763051403709731189638434790866170328791895057714294480939,
3416,C??,17.888014,Gapcoin,21-10-2014,83,86182144608173456356131501370956199923904970981171822227311281881553503099932071033,
3570,C??,18.673785,Gapcoin,21-10-2014,84,106452243469865437938376686000015779868029196800365150966168605322073367085411548599,
3696,C??,19.374808,Gapcoin,21-10-2014,83,70370956473585484597974067040607287908952660546253406346004525292943109619895597117,
3376,C??,17.662231,Gapcoin,21-10-2014,84,102815387596545819585565711198214918994499658811315625988275448318578310610460453957,
3380,C??,17.676474,Gapcoin,21-10-2014,84,110521505643957961789741000453796364558196748724832362799793263861830718454737240469,
3444,C??,18.005154,Gapcoin,21-10-2014,84,117821404416255766840114697090005618564598513060223679149491691125319156967606675189,
3314,C??,17.338410,Gapcoin,21-10-2014,84,102199850211092844107612239841520161478901554301333777086689796506755424621384236499,
3396,C??,17.814134,Gapcoin,21-10-2014,83,61913786305816346977818663162840378970991496829074846671989497816910239661936170833,
3448,C??,18.029077,Gapcoin,21-10-2014,84,114116614743773140939725341427816661636164047716736200605551944333367201909040837211,
3330,C??,17.444961,Gapcoin,21-10-2014,83,79572698429650265796908599378575634084209748559662451540352978388910011065841220689,
3474,C??,18.161953,Gapcoin,21-10-2014,84,117871255150919585023549999289253598405985129991981346770118390832077054280152856603,
3588,C??,18.797889,Gapcoin,21-10-2014,83,78499836182124742593291197880905424302166023087184454271473539847549104198991424341,
3660,C??,19.135051,Gapcoin,21-10-2014,84,117053091351101486184558349482283597081412598662272142895782361314563088350799217373,
3450,C??,18.040239,Gapcoin,21-10-2014,84,113267735654172890995760818517198850708228356961313422790007483319546362879878522301,
3360,C??,17.607014,Gapcoin,21-10-2014,83,75462938776640017293228156485581984592016658408116019262068785667717857184914156557,
3328,C??,17.405305,Gapcoin,21-10-2014,84,109582413272581169825790405998718089870322837738826994040659139695009272683828257989,
3406,C??,17.816782,Gapcoin,21-10-2014,84,105497293629336598806798623802949283455771359516987229839213677286730534361992783327,
3330,C??,17.408012,Gapcoin,21-10-2014,84,119322096194492665433102093032183504247083602853971882514686765054652243302640693021,
3600,C??,18.818937,Gapcoin,21-10-2014,84,119973287132046274483452397475860570001969782677923351603028961981144906280852157283,
3448,C??,18.062467,Gapcoin,21-10-2014,83,80132965179933953563242514504604450488491732111910650945047473681122734296141739269,
3500,C??,18.311725,Gapcoin,21-10-2014,84,101999357495043824562378714930778958048612578803635823265752893494699399412117086649,
3360,C??,17.600645,Gapcoin,21-10-2014,83,80858621606538522062477628755900188998196893363604309493409913599112009583517598471,
3350,C??,17.537296,Gapcoin,21-10-2014,83,91110398475937164189229884159965235010343169604763056045595727360045141490711322783,
3586,C??,18.804195,Gapcoin,21-10-2014,83,66203255831479836378969908699070719363646465354769328273496896411123451115780940023,
3480,C??,18.202973,Gapcoin,21-10-2014,84,106501515954858749165178633990282202248548556669778003037076631861884192213854232953,
3360,C??,17.573536,Gapcoin,21-10-2014,84,108546946907896559899460983630200273678908773744189232789892033969341348427991376357,
3702,C??,19.382293,Gapcoin,21-10-2014,83,89092483186117498156400653804056126524111544858601824651730225972049790188220592237,
3400,C??,17.794852,Gapcoin,21-10-2014,83,95306757461682352577958202461602136657897053168947124068153065829287540564545794747,
3408,C??,17.827101,Gapcoin,21-10-2014,84,105659371372305476578721660751619197984307241179488443974260958282416010912629526091,
3438,C??,17.979589,Gapcoin,21-10-2014,84,110767352546047559346682166574733303199533060436826013720929521154903572396988694439,
3452,C??,18.054332,Gapcoin,21-10-2014,84,108989130355716098991929973820803510513975055653963064551809308001458854629385782387,
3402,C??,17.795847,Gapcoin,21-10-2014,84,105509255600961087419574690542922816612478773748534236646463475629343494927503501607,
3510,C??,18.384396,Gapcoin,21-10-2014,83,82548410110275177742130539887943333928788947393513455364457621653738476756127891227,
3342,C??,17.524842,Gapcoin,21-10-2014,83,66110249277490626027455921344935705774659788970104158681959511614882631822188774491,
3740,C??,19.568268,Gapcoin,21-10-2014,84,101125368327125647996993281519968782924084080245649138676737229707398614858649923823,
4056,C??,21.210543,Gapcoin,21-10-2014,84,111749742516243776531948433921398512450786593075075097344096965913871141493236188047,
3348,C??,17.542450,Gapcoin,21-10-2014,83,76856465689005163560223340056026783020102550981032597266294330121175445105692682861,
3858,C??,20.225906,Gapcoin,21-10-2014,83,69136113249377494650216422765888277994282716863460778224936442333162479938840752151,
3460,C??,18.149008,Gapcoin,21-10-2014,83,62466328043482994123601466201714123857057174643055557017671564107544267896302361537,
3364,C??,17.595568,Gapcoin,21-10-2014,84,107244259249273594393920337249456614848712549357835054021178516212788952213854695383,
3776,C??,19.775701,Gapcoin,21-10-2014,83,84099293889985686267651741866990089130294366414769005730244995529470306445521680087,
3424,C??,17.902080,Gapcoin,21-10-2014,84,115965183959096548445957510412415792622946888216666507460387430044091540037826456627,
3480,C??,18.246779,Gapcoin,21-10-2014,83,67302581702892922451087697287360307243530006800701062093005986004237803967706140157,
3430,C??,17.931362,Gapcoin,21-10-2014,84,118577589452075272681708658415817219481598327834781948892360039452156758849048873529,
3554,C??,18.632124,Gapcoin,21-10-2014,83,69160814687967887068832789546506547196039274392092175230196316811319813246774016403,
3486,C??,18.278218,Gapcoin,21-10-2014,83,67317191670004041077520637894333070614818117793697082222208193663617159780378218503,
3382,C??,17.693985,Gapcoin,21-10-2014,84,102411410359877154322464814059452899771942343835666229878250390153444475059307650951,
3630,C??,19.019667,Gapcoin,21-10-2014,83,77144188472089665191568712675554248400969748748925583258480056417494228606981633269,
3736,C??,19.533260,Gapcoin,21-10-2014,84,116061131981332482488943705326270148308424568650257914506053569287032953643625307327,
3388,C??,17.736448,Gapcoin,21-10-2014,83,90892757755838136189912681623231285482185119554715882067083136780856433664824846299,
3752,C??,19.642307,Gapcoin,21-10-2014,83,90637322964086334329132166738002202185313250895827981814197722573732701945565159767,
3702,C??,19.398759,Gapcoin,21-10-2014,83,75758325658665147696867770522343326315012037667243406191666056494447669280207811061,
3740,C??,19.556752,Gapcoin,21-10-2014,84,113171693540158357285737639945832194523302394022304126213161795378593313401738447913,
3930,C??,20.567980,Gapcoin,21-10-2014,83,95995039279008290497318892177213629439441218374015215863630450316733088835782661653,
4200,C??,21.980676,Gapcoin,21-10-2014,83,96306149576879437315806138509849761175054092762119160616549364692520829875392465369,
3646,C??,19.077930,Gapcoin,21-10-2014,83,99632185079316530344627803004368467371621778182447280108136559714644954686585112613,
3504,C??,18.339870,Gapcoin,21-10-2014,83,94609547114182776374776788256047666256645066211869457186167982710367069731782395947,
3520,C??,18.449308,Gapcoin,21-10-2014,83,72505838346294660568959786620764628140499762405782205594827027973700801512726530201,
3480,C??,18.213613,Gapcoin,21-10-2014,83,95247666934048000426331881550252920118165600282735997158596112197453360112267752469,
3792,C??,19.886643,Gapcoin,21-10-2014,83,64802737427984967689771080945061610235698507387505152625514388899998573889443607081,
3442,C??,17.999976,Gapcoin,21-10-2014,84,111394606106898660227096815336553313057691496250652671649836711105806495265862240267,
4130,C??,21.648003,Gapcoin,21-10-2014,83,71544870312215823075180462709493435587695528944510755046270906593221665361076431671,
3384,C??,17.730432,Gapcoin,21-10-2014,83,77392610282038138415464701436859940965563845347030551693198251287226001010173048607,
3540,C??,18.569792,Gapcoin,21-10-2014,83,61730783567424039616740136639262040062071693380123124467984042106135889829055472407,
3604,C??,18.844545,Gapcoin,21-10-2014,84,114386242859082880356207547903894562989499639717755068893437487100307679862331131679,
3580,C??,18.741732,Gapcoin,21-10-2014,83,90755383632087373953224799203731115814301538591893182615690497375288239730706062821,
3966,C??,20.762122,Gapcoin,21-10-2014,83,91061684630998512648095240332081873781874699002884386115399463940811912551101600971,
